location,year,month,value,min,max,one,aggregation
Armii Krajowej,2016,Jan,,,,1,1
Armii Krajowej,2016,Feb,,,,1,1
Armii Krajowej,2016,Mar,,,,1,1
Armii Krajowej,2016,Apr,,,,1,1
Armii Krajowej,2016,May,,,,1,1
Armii Krajowej,2016,Jun,,,,1,1
Armii Krajowej,2016,Jul,,,,1,1
Armii Krajowej,2016,Aug,,,,1,1
Armii Krajowej,2016,Sep,,,,1,1
Armii Krajowej,2016,Oct,,,,1,1
Armii Krajowej,2016,Nov,,,,1,1
Armii Krajowej,2016,Dec,,,,1,1
Armii Krajowej,2017,Jan,,,,1,1
Armii Krajowej,2017,Feb,,,,1,1
Armii Krajowej,2017,Mar,,,,1,1
Armii Krajowej,2017,Apr,,,,1,1
Armii Krajowej,2017,May,,,,1,1
Armii Krajowej,2017,Jun,,,,1,1
Armii Krajowej,2017,Jul,,,,1,1
Armii Krajowej,2017,Aug,,,,1,1
Armii Krajowej,2017,Sep,,,,1,1
Armii Krajowej,2017,Oct,,,,1,1
Armii Krajowej,2017,Nov,,,,1,1
Armii Krajowej,2017,Dec,,,,1,1
Armii Krajowej,2018,Jan,,,,1,1
Armii Krajowej,2018,Feb,,,,1,1
Armii Krajowej,2018,Mar,,,,1,1
Armii Krajowej,2018,Apr,,,,1,1
Armii Krajowej,2018,May,,,,1,1
Armii Krajowej,2018,Jun,,,,1,1
Armii Krajowej,2018,Jul,,,,1,1
Armii Krajowej,2018,Aug,,,,1,1
Armii Krajowej,2018,Sep,,,,1,1
Armii Krajowej,2018,Oct,,,,1,1
Armii Krajowej,2018,Nov,,,,1,1
Armii Krajowej,2018,Dec,,,,1,1
Armii Krajowej,2019,Jan,,,,1,1
Armii Krajowej,2019,Feb,,,,1,1
Armii Krajowej,2019,Mar,,,,1,1
Armii Krajowej,2019,Apr,,,,1,1
Armii Krajowej,2019,May,,,,1,1
Armii Krajowej,2019,Jun,,,,1,1
Armii Krajowej,2019,Jul,,,,1,1
Armii Krajowej,2019,Aug,,,,1,1
Armii Krajowej,2019,Sep,,,,1,1
Armii Krajowej,2019,Oct,,,,1,1
Armii Krajowej,2019,Nov,,,,1,1
Armii Krajowej,2019,Dec,,,,1,1
Armii Krajowej,2020,Jan,,,,1,1
Armii Krajowej,2020,Feb,,,,1,1
Armii Krajowej,2020,Mar,,,,1,1
