Group,New Group,Metric,Country,Value,Total,Point
Sex,1,Males,Belgium,20,20.8,1
Sex,0,Males,Bulgaria,39.8,41.6,1
Sex,0,Males,Czech Republic,12.7,14.4,1
Sex,0,Males,Denmark,17.7,18.3,1
Sex,0,Males,Germany,18.6,19.7,1
Sex,0,Males,Estonia,21.5,21.7,1
Sex,0,Males,Ireland,29.3,29.9,1
Sex,0,Males,Greece,26,27.7,1
Sex,0,Males,Spain,24.9,25.5,1
Sex,0,Males,France,18.3,19.2,1
Sex,0,Males,Italy,22.6,24.5,1
Sex,0,Males,Cyprus,22.3,23.6,1
Sex,0,Males,Latvia,37.6,38.1,1
Sex,0,Males,Lithuania,32.9,33.4,1
Sex,0,Males,Luxembourg,16.5,17.1,1
Sex,0,Males,Hungary,29.4,29.9,1
Sex,0,Males,Malta,19.7,20.6,1
Sex,0,Males,Netherlands,14.1,15.1,1
Sex,0,Males,Austria,14.7,16.6,1
Sex,0,Males,Poland,27,27.8,1
Sex,0,Males,Portugal,24.8,25.3,1
Sex,0,Males,Romania,40.8,41.4,1
Sex,0,Males,Slovenia,16.5,18.3,1
Sex,0,Males,Slovakia,19.6,20.6,1
Sex,0,Males,Finland,16,16.9,1
Sex,0,Males,Sweden,13.4,15,1
Sex,0,Males,United Kingdom,22.1,23.1,1
Sex,0,Males,Iceland,13.5,13.7,1
Sex,0,Males,Norway,13.8,14.9,1
Sex,0,Males,Switzerland,15.6,17.1,1
Sex,0,Males,Croatia,30.2,31.3,1
Sex,0,Females,Belgium,21.7,20.8,1
Sex,0,Females,Bulgaria,43.3,41.6,1
Sex,0,Females,Czech Republic,16,14.4,1
Sex,0,Females,Denmark,19,18.3,1
Sex,0,Females,Germany,20.9,19.7,1
Sex,0,Females,Estonia,22,21.7,1
Sex,0,Females,Ireland,30.5,29.9,1
Sex,0,Females,Greece,29.3,27.7,1
Sex,0,Females,Spain,26.1,25.5,1
Sex,0,Females,France,20,19.2,1
Sex,0,Females,Italy,26.3,24.5,1
Sex,0,Females,Cyprus,24.9,23.6,1
Sex,0,Females,Latvia,38.5,38.1,1
Sex,0,Females,Lithuania,33.8,33.4,1
Sex,0,Females,Luxembourg,17.7,17.1,1
Sex,0,Females,Hungary,30.3,29.9,1
Sex,0,Females,Malta,21.5,20.6,1
Sex,0,Females,Netherlands,16,15.1,1
Sex,0,Females,Austria,18.4,16.6,1
Sex,0,Females,Poland,28.5,27.8,1
Sex,0,Females,Portugal,25.8,25.3,1
Sex,0,Females,Romania,42.1,41.4,1
Sex,0,Females,Slovenia,20.1,18.3,1
Sex,0,Females,Slovakia,21.6,20.6,1
Sex,0,Females,Finland,17.7,16.9,1
Sex,0,Females,Sweden,16.6,15,1
Sex,0,Females,United Kingdom,24.2,23.1,1
Sex,0,Females,Iceland,14,13.7,1
Sex,0,Females,Norway,15.9,14.9,1
Sex,0,Females,Switzerland,18.5,17.1,1
Sex,0,Females,Croatia,32.3,31.3,1
Age,1,Less than 6 years,Belgium,25.2,20.8,1
Age,0,Less than 6 years,Bulgaria,39.3,41.6,1
Age,0,Less than 6 years,Czech Republic,16.4,14.4,1
Age,0,Less than 6 years,Denmark,15.3,18.3,1
Age,0,Less than 6 years,Germany,20.6,19.7,1
Age,0,Less than 6 years,Estonia,21.2,21.7,1
Age,0,Less than 6 years,Ireland,31,29.9,1
Age,0,Less than 6 years,Greece,25.3,27.7,1
Age,0,Less than 6 years,Spain,23.7,25.5,1
Age,0,Less than 6 years,France,22.7,19.2,1
Age,0,Less than 6 years,Italy,28.3,24.5,1
Age,0,Less than 6 years,Cyprus,17,23.6,1
Age,0,Less than 6 years,Latvia,39.3,38.1,1
Age,0,Less than 6 years,Lithuania,26.4,33.4,1
Age,0,Less than 6 years,Luxembourg,23.4,17.1,1
Age,0,Less than 6 years,Hungary,37.1,29.9,1
Age,0,Less than 6 years,Malta,20.4,20.6,1
Age,0,Less than 6 years,Netherlands,14,15.1,1
Age,0,Less than 6 years,Austria,19,16.6,1
Age,0,Less than 6 years,Poland,28.6,27.8,1
Age,0,Less than 6 years,Portugal,20.7,25.3,1
Age,0,Less than 6 years,Romania,45.8,41.4,1
Age,0,Less than 6 years,Slovenia,13.6,18.3,1
Age,0,Less than 6 years,Slovakia,25.2,20.6,1
Age,0,Less than 6 years,Finland,15.6,16.9,1
Age,0,Less than 6 years,Sweden,14.1,15,1
Age,0,Less than 6 years,United Kingdom,30.6,23.1,1
Age,0,Less than 6 years,Iceland,18.1,13.7,1
Age,0,Less than 6 years,Norway,14.1,14.9,1
Age,0,Less than 6 years,Switzerland,22.3,17.1,1
Age,0,Less than 6 years,Croatia,24.4,31.3,1
Age,0,From 6 to 10 years,Belgium,23.7,20.8,1
Age,0,From 6 to 10 years,Bulgaria,45.6,41.6,1
Age,0,From 6 to 10 years,Czech Republic,18.4,14.4,1
Age,0,From 6 to 10 years,Denmark,16.3,18.3,1
Age,0,From 6 to 10 years,Germany,21.6,19.7,1
Age,0,From 6 to 10 years,Estonia,26,21.7,1
Age,0,From 6 to 10 years,Ireland,39.6,29.9,1
Age,0,From 6 to 10 years,Greece,24.6,27.7,1
Age,0,From 6 to 10 years,Spain,30.4,25.5,1
Age,0,From 6 to 10 years,France,22,19.2,1
Age,0,From 6 to 10 years,Italy,26.2,24.5,1
Age,0,From 6 to 10 years,Cyprus,24.1,23.6,1
Age,0,From 6 to 10 years,Latvia,43.7,38.1,1
Age,0,From 6 to 10 years,Lithuania,37.6,33.4,1
Age,0,From 6 to 10 years,Luxembourg,20.3,17.1,1
Age,0,From 6 to 10 years,Hungary,38.9,29.9,1
Age,0,From 6 to 10 years,Malta,22.4,20.6,1
Age,0,From 6 to 10 years,Netherlands,17.7,15.1,1
Age,0,From 6 to 10 years,Austria,20.9,16.6,1
Age,0,From 6 to 10 years,Poland,29.6,27.8,1
Age,0,From 6 to 10 years,Portugal,27,25.3,1
Age,0,From 6 to 10 years,Romania,50.5,41.4,1
Age,0,From 6 to 10 years,Slovenia,16.6,18.3,1
Age,0,From 6 to 10 years,Slovakia,25.3,20.6,1
Age,0,From 6 to 10 years,Finland,12.8,16.9,1
Age,0,From 6 to 10 years,Sweden,12.5,15,1
Age,0,From 6 to 10 years,United Kingdom,30.9,23.1,1
Age,0,From 6 to 10 years,Iceland,17.9,13.7,1
Age,0,From 6 to 10 years,Norway,11.6,14.9,1
Age,0,From 6 to 10 years,Switzerland,17.1,17.1,1
Age,0,From 6 to 10 years,Croatia,31.9,31.3,1
Age,0,From 11 to 15 years,Belgium,20.1,20.8,1
Age,0,From 11 to 15 years,Bulgaria,47.5,41.6,1
Age,0,From 11 to 15 years,Czech Republic,20.2,14.4,1
Age,0,From 11 to 15 years,Denmark,13.4,18.3,1
Age,0,From 11 to 15 years,Germany,21.9,19.7,1
Age,0,From 11 to 15 years,Estonia,23.5,21.7,1
Age,0,From 11 to 15 years,Ireland,42.1,29.9,1
Age,0,From 11 to 15 years,Greece,34.1,27.7,1
Age,0,From 11 to 15 years,Spain,34.4,25.5,1
Age,0,From 11 to 15 years,France,23.3,19.2,1
Age,0,From 11 to 15 years,Italy,30.6,24.5,1
Age,0,From 11 to 15 years,Cyprus,22,23.6,1
Age,0,From 11 to 15 years,Latvia,43.4,38.1,1
Age,0,From 11 to 15 years,Lithuania,37.9,33.4,1
Age,0,From 11 to 15 years,Luxembourg,22,17.1,1
Age,0,From 11 to 15 years,Hungary,40.4,29.9,1
Age,0,From 11 to 15 years,Malta,29,20.6,1
Age,0,From 11 to 15 years,Netherlands,17.5,15.1,1
Age,0,From 11 to 15 years,Austria,18.5,16.6,1
Age,0,From 11 to 15 years,Poland,33.2,27.8,1
Age,0,From 11 to 15 years,Portugal,33.6,25.3,1
Age,0,From 11 to 15 years,Romania,49.7,41.4,1
Age,0,From 11 to 15 years,Slovenia,14.8,18.3,1
Age,0,From 11 to 15 years,Slovakia,24.6,20.6,1
Age,0,From 11 to 15 years,Finland,13.5,16.9,1
Age,0,From 11 to 15 years,Sweden,14.5,15,1
Age,0,From 11 to 15 years,United Kingdom,27.5,23.1,1
Age,0,From 11 to 15 years,Iceland,16,13.7,1
Age,0,From 11 to 15 years,Norway,15.3,14.9,1
Age,0,From 11 to 15 years,Switzerland,20.2,17.1,1
Age,0,From 11 to 15 years,Croatia,31.6,31.3,1
Age,0,From 16 to 24 years,Belgium,21.3,20.8,1
Age,0,From 16 to 24 years,Bulgaria,41.4,41.6,1
Age,0,From 16 to 24 years,Czech Republic,17.8,14.4,1
Age,0,From 16 to 24 years,Denmark,35.3,18.3,1
Age,0,From 16 to 24 years,Germany,23.9,19.7,1
Age,0,From 16 to 24 years,Estonia,26.4,21.7,1
Age,0,From 16 to 24 years,Ireland,35.7,29.9,1
Age,0,From 16 to 24 years,Greece,38.1,27.7,1
Age,0,From 16 to 24 years,Spain,30.6,25.5,1
Age,0,From 16 to 24 years,France,28,19.2,1
Age,0,From 16 to 24 years,Italy,31.1,24.5,1
Age,0,From 16 to 24 years,Cyprus,20.8,23.6,1
Age,0,From 16 to 24 years,Latvia,39.4,38.1,1
Age,0,From 16 to 24 years,Lithuania,36.2,33.4,1
Age,0,From 16 to 24 years,Luxembourg,20.3,17.1,1
Age,0,From 16 to 24 years,Hungary,36.7,29.9,1
Age,0,From 16 to 24 years,Malta,20.6,20.6,1
Age,0,From 16 to 24 years,Netherlands,26.7,15.1,1
Age,0,From 16 to 24 years,Austria,17.1,16.6,1
Age,0,From 16 to 24 years,Poland,31,27.8,1
Age,0,From 16 to 24 years,Portugal,29.2,25.3,1
Age,0,From 16 to 24 years,Romania,43.1,41.4,1
Age,0,From 16 to 24 years,Slovenia,16.3,18.3,1
Age,0,From 16 to 24 years,Slovakia,23.5,20.6,1
Age,0,From 16 to 24 years,Finland,27.1,16.9,1
Age,0,From 16 to 24 years,Sweden,28.8,15,1
Age,0,From 16 to 24 years,United Kingdom,28.3,23.1,1
Age,0,From 16 to 24 years,Iceland,17.8,13.7,1
Age,0,From 16 to 24 years,Norway,33.4,14.9,1
Age,0,From 16 to 24 years,Switzerland,15.5,17.1,1
Age,0,From 16 to 24 years,Croatia,33.4,31.3,1
Age,0,From 25 to 49 years,Belgium,17.6,20.8,1
Age,0,From 25 to 49 years,Bulgaria,35.6,41.6,1
Age,0,From 25 to 49 years,Czech Republic,12.9,14.4,1
Age,0,From 25 to 49 years,Denmark,17.5,18.3,1
Age,0,From 25 to 49 years,Germany,18.7,19.7,1
Age,0,From 25 to 49 years,Estonia,19.6,21.7,1
Age,0,From 25 to 49 years,Ireland,27.6,29.9,1
Age,0,From 25 to 49 years,Greece,25.2,27.7,1
Age,0,From 25 to 49 years,Spain,24,25.5,1
Age,0,From 25 to 49 years,France,17.2,19.2,1
Age,0,From 25 to 49 years,Italy,24.5,24.5,1
Age,0,From 25 to 49 years,Cyprus,19,23.6,1
Age,0,From 25 to 49 years,Latvia,35.5,38.1,1
Age,0,From 25 to 49 years,Lithuania,32.3,33.4,1
Age,0,From 25 to 49 years,Luxembourg,16.4,17.1,1
Age,0,From 25 to 49 years,Hungary,29.3,29.9,1
Age,0,From 25 to 49 years,Malta,17.6,20.6,1
Age,0,From 25 to 49 years,Netherlands,14.5,15.1,1
Age,0,From 25 to 49 years,Austria,14.8,16.6,1
Age,0,From 25 to 49 years,Poland,24.8,27.8,1
Age,0,From 25 to 49 years,Portugal,22.3,25.3,1
Age,0,From 25 to 49 years,Romania,37.8,41.4,1
Age,0,From 25 to 49 years,Slovenia,14.4,18.3,1
Age,0,From 25 to 49 years,Slovakia,19.1,20.6,1
Age,0,From 25 to 49 years,Finland,13.8,16.9,1
Age,0,From 25 to 49 years,Sweden,13.1,15,1
Age,0,From 25 to 49 years,United Kingdom,19.7,23.1,1
