year,location,min,max,avg,25th,75th,50th
2020,Armii Krajowej,,,179,135,242,174
2021,Armii Krajowej,0,2042,637,216,1035,510
2022,Armii Krajowej,33,2001,812,307,1255,785
2018,Bora-Komorowskiego,46,1754,679,254,1024,605
2019,Bora-Komorowskiego,22,2335,674,250,1018,583
2020,Bora-Komorowskiego,46,2165,777,306,1262,584
2021,Bora-Komorowskiego,26,2028,717,263,1085,566
2022,Bora-Komorowskiego,51,2285,936,331,1442,889
2017,Bulwary,0,5172,1319,292,2259,810
2018,Bulwary,22,5329,1520,347,2497,1271
2019,Bulwary,34,4708,1589,583,2548,1388
2020,Bulwary,3,6611,1775,559,2945,1164
2021,Bulwary,23,7075,1508,463,2459,1157
2022,Bulwary,65,6088,1847,675,2804,1655
2017,Dworzec,,,312,143,449,325
2018,Dworzec,13,2345,866,323,1433,717
2019,Dworzec,42,2364,907,368,1368,773
2020,Dworzec,109,2299,930,528,1227,784
2021,Dworzec,31,2637,1099,580,1521,967
2022,Dworzec,172,3255,1520,762,2253,1368
2020,Grzegórzecka,,,741,640,957,763
2021,Grzegórzecka,209,3182,1427,852,1911,1295
2022,Grzegórzecka,302,3043,1580,904,2232,1558
2020,Kamieńskiego,,,181,151,251,159
2021,Kamieńskiego,11,2063,681,238,1123,553
2022,Kamieńskiego,38,2084,902,338,1389,864
2018,Klimeckiego,90,2533,1042,400,1704,945
2019,Klimeckiego,32,2881,1040,381,1548,888
2020,Klimeckiego,91,3418,1082,467,1716,743
2021,Klimeckiego,76,3266,1055,416,1630,822
2022,Klimeckiego,69,3038,1286,520,1955,1170
2018,Kopernika,210,3913,1755,778,2730,1585
2019,Kopernika,107,4572,1828,795,2622,1648
2020,Kopernika,157,4395,1724,897,2397,1386
2021,Kopernika,268,4336,1787,881,2504,1563
2022,Kopernika,251,4552,2037,1012,2934,1909
2017,Kotlarska,0,6142,1172,302,1833,735
2018,Kotlarska,0,4148,1455,417,2382,1122
2019,Kotlarska,75,4313,1699,690,2499,1516
2020,Kotlarska,183,4404,1653,855,2397,1295
2021,Kotlarska,0,4336,1687,792,2433,1445
2022,Kotlarska,199,4606,2043,947,3027,1877
2017,Mogilska,55,5047,1749,562,2761,1268
2018,Mogilska,80,5252,1994,707,3218,1659
2019,Mogilska,104,4995,2050,878,2983,1860
2020,Mogilska,175,5271,2043,1018,2865,1593
2021,Mogilska,171,5092,2029,942,2931,1770
2022,Mogilska,195,5436,2464,1134,3685,2265
2017,Monte Cassino,,,374,185,516,370
2018,Monte Cassino,50,3117,1238,374,2069,1064
2019,Monte Cassino,58,3720,1449,532,2160,1322
2020,Monte Cassino,119,3865,1458,663,2305,1062
2021,Monte Cassino,69,4025,1419,603,2248,1175
2022,Monte Cassino,122,3949,1680,764,2509,1618
2020,Niepołomska,,,170,95,209,168
2021,Niepołomska,1,4781,804,187,1317,564
2022,Niepołomska,10,3731,894,246,1430,739
2018,Nowohucka,59,1153,477,165,734,442
2019,Nowohucka,11,1433,509,177,767,443
2020,Nowohucka,32,1676,565,218,917,412
2021,Nowohucka,13,1705,526,201,838,402
2022,Nowohucka,26,1648,681,250,1052,613
2017,Smoleńsk,,,293,192,395,288
2018,Smoleńsk,38,1344,598,286,882,572
2019,Smoleńsk,94,1415,645,379,873,615
2020,Smoleńsk,122,1370,634,381,879,566
2021,Smoleńsk,124,1511,719,423,994,662
2022,Smoleńsk,136,1584,837,520,1143,841
2017,Tyniecka,,,246,170,312,219
2018,Tyniecka,37,6341,1258,238,1959,892
2019,Tyniecka,53,5854,1225,357,1929,807
2020,Tyniecka,49,7111,1484,352,2487,875
2021,Tyniecka,64,8824,1462,339,2306,1026
2022,Tyniecka,36,7419,1674,541,2531,1437
2017,Wadowicka,1,1158,382,131,572,266
2018,Wadowicka,17,2644,841,270,1295,728
2019,Wadowicka,9,2961,894,382,1355,745
2020,Wadowicka,107,3549,894,477,1205,711
2021,Wadowicka,7,2331,960,481,1365,869
2022,Wadowicka,51,2634,1162,562,1725,1106
2017,Wielicka,14,1605,569,157,958,391
2018,Wielicka,17,1749,729,206,1199,713
2019,Wielicka,40,2637,995,374,1443,904
2020,Wielicka,88,2892,1051,481,1600,766
2021,Wielicka,40,2610,1024,434,1509,862
2022,Wielicka,97,2672,1202,519,1751,1129
