country,code,GDP,year,metric,value,lat,lon
Afghanistan,AFG,1666,2012,Control of Corruption,-1.43,33,65
Afghanistan,AFG,1666,2012,Government Effectiveness,-1.38,33,65
Afghanistan,AFG,1666,2012,Political Stability and Absence of Violence/Terrorism,-2.42,33,65
Afghanistan,AFG,1666,2012,Regulatory Quality,-1.19,33,65
Afghanistan,AFG,1666,2012,Rule of Law,-1.65,33,65
Afghanistan,AFG,1666,2012,Voice and Accountability,-1.27,33,65
Afghanistan,AFG,1666,2013,Control of Corruption,-1.45,33,65
Afghanistan,AFG,1666,2013,Government Effectiveness,-1.4,33,65
Afghanistan,AFG,1666,2013,Political Stability and Absence of Violence/Terrorism,-2.52,33,65
Afghanistan,AFG,1666,2013,Regulatory Quality,-1.19,33,65
Afghanistan,AFG,1666,2013,Rule of Law,-1.61,33,65
Afghanistan,AFG,1666,2013,Voice and Accountability,-1.24,33,65
Afghanistan,AFG,1666,2014,Control of Corruption,-1.36,33,65
Afghanistan,AFG,1666,2014,Government Effectiveness,-1.36,33,65
Afghanistan,AFG,1666,2014,Political Stability and Absence of Violence/Terrorism,-2.41,33,65
Afghanistan,AFG,1666,2014,Regulatory Quality,-1.12,33,65
Afghanistan,AFG,1666,2014,Rule of Law,-1.44,33,65
Afghanistan,AFG,1666,2014,Voice and Accountability,-1.14,33,65
Afghanistan,AFG,1666,2015,Control of Corruption,-1.35,33,65
Afghanistan,AFG,1666,2015,Government Effectiveness,-1.35,33,65
Afghanistan,AFG,1666,2015,Political Stability and Absence of Violence/Terrorism,-2.57,33,65
Afghanistan,AFG,1666,2015,Regulatory Quality,-1.01,33,65
Afghanistan,AFG,1666,2015,Rule of Law,-1.5,33,65
Afghanistan,AFG,1666,2015,Voice and Accountability,-1.12,33,65
Afghanistan,AFG,1666,2016,Control of Corruption,-1.53,33,65
Afghanistan,AFG,1666,2016,Government Effectiveness,-1.25,33,65
Afghanistan,AFG,1666,2016,Political Stability and Absence of Violence/Terrorism,-2.67,33,65
Afghanistan,AFG,1666,2016,Regulatory Quality,-1.34,33,65
Afghanistan,AFG,1666,2016,Rule of Law,-1.51,33,65
Afghanistan,AFG,1666,2016,Voice and Accountability,-1.04,33,65
Afghanistan,AFG,1666,2017,Control of Corruption,-1.52,33,65
Afghanistan,AFG,1666,2017,Government Effectiveness,-1.36,33,65
Afghanistan,AFG,1666,2017,Political Stability and Absence of Violence/Terrorism,-2.8,33,65
Afghanistan,AFG,1666,2017,Regulatory Quality,-1.36,33,65
Afghanistan,AFG,1666,2017,Rule of Law,-1.58,33,65
Afghanistan,AFG,1666,2017,Voice and Accountability,-0.99,33,65
Afghanistan,AFG,1666,2018,Control of Corruption,-1.49,33,65
Afghanistan,AFG,1666,2018,Government Effectiveness,-1.48,33,65
Afghanistan,AFG,1666,2018,Political Stability and Absence of Violence/Terrorism,-2.76,33,65
Afghanistan,AFG,1666,2018,Regulatory Quality,-1.15,33,65
Afghanistan,AFG,1666,2018,Rule of Law,-1.68,33,65
Afghanistan,AFG,1666,2018,Voice and Accountability,-1.01,33,65
Afghanistan,AFG,1666,2019,Control of Corruption,-1.41,33,65
Afghanistan,AFG,1666,2019,Government Effectiveness,-1.5,33,65
Afghanistan,AFG,1666,2019,Political Stability and Absence of Violence/Terrorism,-2.66,33,65
Afghanistan,AFG,1666,2019,Regulatory Quality,-1.12,33,65
Afghanistan,AFG,1666,2019,Rule of Law,-1.73,33,65
Afghanistan,AFG,1666,2019,Voice and Accountability,-1.01,33,65
Afghanistan,AFG,1666,2020,Control of Corruption,-1.48,33,65
Afghanistan,AFG,1666,2020,Government Effectiveness,-1.59,33,65
Afghanistan,AFG,1666,2020,Political Stability and Absence of Violence/Terrorism,-2.71,33,65
Afghanistan,AFG,1666,2020,Regulatory Quality,-1.4,33,65
Afghanistan,AFG,1666,2020,Rule of Law,-1.82,33,65
Afghanistan,AFG,1666,2020,Voice and Accountability,-1.08,33,65
Afghanistan,AFG,1666,2021,Control of Corruption,-1.14,33,65
Afghanistan,AFG,1666,2021,Government Effectiveness,-1.63,33,65
Afghanistan,AFG,1666,2021,Political Stability and Absence of Violence/Terrorism,-2.53,33,65
Afghanistan,AFG,1666,2021,Regulatory Quality,-1.34,33,65
Afghanistan,AFG,1666,2021,Rule of Law,-1.87,33,65
Afghanistan,AFG,1666,2021,Voice and Accountability,-1.57,33,65
Albania,ALB,15709,2012,Control of Corruption,-0.78,41,20
Albania,ALB,15709,2012,Government Effectiveness,-0.27,41,20
Albania,ALB,15709,2012,Political Stability and Absence of Violence/Terrorism,-0.14,41,20
Albania,ALB,15709,2012,Regulatory Quality,0.24,41,20
Albania,ALB,15709,2012,Rule of Law,-0.52,41,20
Albania,ALB,15709,2012,Voice and Accountability,0.02,41,20
Albania,ALB,15709,2013,Control of Corruption,-0.75,41,20
Albania,ALB,15709,2013,Government Effectiveness,-0.32,41,20
Albania,ALB,15709,2013,Political Stability and Absence of Violence/Terrorism,0.09,41,20
Albania,ALB,15709,2013,Regulatory Quality,0.25,41,20
Albania,ALB,15709,2013,Rule of Law,-0.52,41,20
Albania,ALB,15709,2013,Voice and Accountability,0.05,41,20
Albania,ALB,15709,2014,Control of Corruption,-0.59,41,20
Albania,ALB,15709,2014,Government Effectiveness,-0.05,41,20
Albania,ALB,15709,2014,Political Stability and Absence of Violence/Terrorism,0.49,41,20
Albania,ALB,15709,2014,Regulatory Quality,0.28,41,20
Albania,ALB,15709,2014,Rule of Law,-0.31,41,20
Albania,ALB,15709,2014,Voice and Accountability,0.14,41,20
Albania,ALB,15709,2015,Control of Corruption,-0.52,41,20
Albania,ALB,15709,2015,Government Effectiveness,0.06,41,20
Albania,ALB,15709,2015,Political Stability and Absence of Violence/Terrorism,0.35,41,20
Albania,ALB,15709,2015,Regulatory Quality,0.19,41,20
Albania,ALB,15709,2015,Rule of Law,-0.3,41,20
Albania,ALB,15709,2015,Voice and Accountability,0.16,41,20
Albania,ALB,15709,2016,Control of Corruption,-0.45,41,20
Albania,ALB,15709,2016,Government Effectiveness,0.06,41,20
Albania,ALB,15709,2016,Political Stability and Absence of Violence/Terrorism,0.34,41,20
Albania,ALB,15709,2016,Regulatory Quality,0.2,41,20
Albania,ALB,15709,2016,Rule of Law,-0.3,41,20
Albania,ALB,15709,2016,Voice and Accountability,0.17,41,20
Albania,ALB,15709,2017,Control of Corruption,-0.46,41,20
Albania,ALB,15709,2017,Government Effectiveness,0.13,41,20
Albania,ALB,15709,2017,Political Stability and Absence of Violence/Terrorism,0.38,41,20
Albania,ALB,15709,2017,Regulatory Quality,0.23,41,20
Albania,ALB,15709,2017,Rule of Law,-0.4,41,20
Albania,ALB,15709,2017,Voice and Accountability,0.2,41,20
Albania,ALB,15709,2018,Control of Corruption,-0.52,41,20
Albania,ALB,15709,2018,Government Effectiveness,0.11,41,20
Albania,ALB,15709,2018,Political Stability and Absence of Violence/Terrorism,0.37,41,20
Albania,ALB,15709,2018,Regulatory Quality,0.27,41,20
Albania,ALB,15709,2018,Rule of Law,-0.4,41,20
Albania,ALB,15709,2018,Voice and Accountability,0.18,41,20
Albania,ALB,15709,2019,Control of Corruption,-0.54,41,20
Albania,ALB,15709,2019,Government Effectiveness,-0.03,41,20
Albania,ALB,15709,2019,Political Stability and Absence of Violence/Terrorism,0.11,41,20
Albania,ALB,15709,2019,Regulatory Quality,0.29,41,20
Albania,ALB,15709,2019,Rule of Law,-0.4,41,20
Albania,ALB,15709,2019,Voice and Accountability,0.14,41,20
Albania,ALB,15709,2020,Control of Corruption,-0.55,41,20
Albania,ALB,15709,2020,Government Effectiveness,-0.12,41,20
Albania,ALB,15709,2020,Political Stability and Absence of Violence/Terrorism,0.09,41,20
Albania,ALB,15709,2020,Regulatory Quality,0.24,41,20
Albania,ALB,15709,2020,Rule of Law,-0.35,41,20
Albania,ALB,15709,2020,Voice and Accountability,0.09,41,20
Albania,ALB,15709,2021,Control of Corruption,-0.56,41,20
Albania,ALB,15709,2021,Government Effectiveness,0,41,20
Albania,ALB,15709,2021,Political Stability and Absence of Violence/Terrorism,0.11,41,20
Albania,ALB,15709,2021,Regulatory Quality,0.19,41,20
Albania,ALB,15709,2021,Rule of Law,-0.26,41,20
Albania,ALB,15709,2021,Voice and Accountability,0.09,41,20
Algeria,DZA,12128,2012,Control of Corruption,-0.52,28,3
Algeria,DZA,12128,2012,Government Effectiveness,-0.44,28,3
Algeria,DZA,12128,2012,Political Stability and Absence of Violence/Terrorism,-1.33,28,3
Algeria,DZA,12128,2012,Regulatory Quality,-1.32,28,3
Algeria,DZA,12128,2012,Rule of Law,-0.81,28,3
Algeria,DZA,12128,2012,Voice and Accountability,-0.91,28,3
Algeria,DZA,12128,2013,Control of Corruption,-0.47,28,3
Algeria,DZA,12128,2013,Government Effectiveness,-0.43,28,3
