part,octave,stepname,step,alter,dx,dy,duration,dx,dy,angle
Piano,1,A,9,-1,($6.8984),($1.1882),24,-0.15002816399054386,-0.025841276883562015,0.7771465671157279
Piano,1,A,9,-1,($6.896),($1.2023),24,-0.14997596817795292,-0.026147927282533758,0.777471189741925
Piano,1,A,9,-1,($6.8859),($1.2585),24,-0.14975631079996607,-0.027370179227371484,0.7787696802467132
Piano,1,A,9,-1,($6.4515),$2.7163,24,-0.14030886872100687,0.05907478572531519,0.6865768544067522
Piano,1,A,9,-1,($5.7716),($3.9608),24,-0.12552222997909993,-0.08614048937923956,0.8457230968998539
Piano,1,A,9,-1,($5.7635),($3.9726),24,-0.12534606911160553,-0.08639711879114498,0.846047719526051
Piano,1,A,9,0,($6.7974),$2.4073,24,-0.14783159021067535,0.05235457485423232,0.6958285992533679
Piano,1,B,11,-1,($6.9677),$2.5398,48,-0.1515353180791071,0.05523621867435685,0.6943677974354813
Piano,1,B,11,-1,($6.9172),$2.6744,24,-0.15043703118917284,0.05816353383049845,0.6912838824866093
Piano,1,B,11,0,($4.6806),($6.0077),12,-0.10179488350547078,-0.13065699304273315,0.8946599577990586
Piano,1,C,0,0,($5.1755),$2.0527,24,-0.11255809502682647,0.04464264354392169,0.6899042363252719
Piano,1,D,2,0,($5.4971),$2.1868,24,-0.11955233391401175,0.04755908457244017,0.6897419250121734
Piano,1,E,4,-1,($5.9886),($1.0661),24,-0.1302416013675303,-0.023185814917998204,0.7780392793377698
Piano,1,E,4,-1,($5.6311),$2.3002,24,-0.12246660011700561,0.05002533671736185,0.6882811231942867
Piano,1,F,5,0,($6.0401),$2.1253,12,-0.13136163651271077,0.04622156687479747,0.696153221879565
Piano,1,F,5,0,($5.9252),$2.4274,24,-0.12886276198491975,0.0527917147846814,0.6881188118811881
Piano,1,F,5,0,($5.8783),$2.5387,24,-0.1278427688138719,0.055212295593586,0.6851160525888654
Piano,1,G,7,-1,($6.0923),$2.6237,24,-0.1324968954365636,0.057060897289514946,0.685278363901964
Piano,1,G,7,0,($6.3955),$2.2577,12,-0.13909096642721838,0.049101035869397375,0.6959909105664664
Piano,1,G,7,0,($6.2536),$2.6254,24,-0.13600488900777935,0.057097869323433526,0.6867391657198507
Piano,1,G,7,0,($2.6557),$6.2408,6,-0.05775684145739408,0.1357265113406277,0.5640318130173673
Piano,2,A,9,-1,($9.7567),($1.6754),12,-0.2121912019608227,-0.0364370268395218,0.7770654114591787
Piano,2,A,9,-1,($9.753299999999999),($1.6953),12,-0.21211725789298552,-0.036869817118921636,0.7773900340853758
Piano,2,A,9,-1,($9.739100000000001),($1.7748),12,-0.21180843266848917,-0.038598803410996356,0.7786885245901639
Piano,2,A,9,-1,($9.7271),($1.8393),12,-0.2115474536055345,-0.040001565874377726,0.7797435481253043
Piano,2,A,9,-1,($9.724299999999999),($1.8542),12,-0.21148655849084508,-0.04032561487754645,0.7799870150949522
Piano,2,A,9,-1,($9.4734),$2.8732,6,-0.20602992124956776,0.062487086973447556,0.7031326083428014
Piano,2,A,9,-1,($9.392300000000001),($3.1282),12,-0.20426613774909907,-0.06803289206123439,0.8011686414543093
Piano,2,A,9,-1,($9.198399999999999),($3.6592),36,-0.20004915105685647,-0.07958121559697873,0.8102580749878266
Piano,2,A,9,-1,($9.1258),$3.8367,24,-0.1984702277259807,0.08344153090318329,0.6866580100633014
Piano,2,A,9,-1,($8.993600000000001),($4.137),36,-0.19559510838243002,-0.08997253195362402,0.8186171076124006
Piano,2,A,9,-1,($8.9788),($4.1691),36,-0.19527323420478593,-0.09067065094702778,0.8191851972082455
Piano,2,A,9,-1,($8.7523),($4.6258),6,-0.19034725439151645,-0.10060307911797776,0.8273819185197209
Piano,2,A,9,-1,($8.4107),($5.2211),6,-0.1829180503994067,-0.11354981546605424,0.8384190878104204
Piano,2,A,9,-1,($8.4),($5.2383),6,-0.1826853440682721,-0.11392388545628927,0.8387437104366174
Piano,2,A,9,-1,($8.2887),($5.4127),24,-0.18026476325936752,-0.11771678117123054,0.8420710923551371
Piano,2,A,9,-1,($5.6368),($8.138),12,-0.12259056517190908,-0.17698730119376174,0.9035870800194774
Piano,2,A,9,-1,($4.8099),($8.6524),6,-0.10460693290880739,-0.18817460369241878,0.9192501217334849
Piano,2,A,9,-1,($4.7746),($8.672000000000001),6,-0.10383921949861573,-0.18860086949524474,0.9198993669858789
Piano,2,A,9,-1,($4.7525),($8.684100000000001),6,-0.1033585830576742,-0.18886402338372404,0.9203051452686252
Piano,2,A,9,-1,($4.7436),($8.689),6,-0.10316502358598281,-0.18897058983443052,0.9204674565817238
Piano,2,A,9,-1,($4.7259),($8.698600000000001),6,-0.10278007946812467,-0.18917937308479427,0.9207920792079208
Piano,2,A,9,-1,($4.717),($8.7034),6,-0.10258651999643328,-0.18928376470997615,0.9209543905210194
Piano,2,A,9,-1,($4.6458),($8.7416),24,-0.10103804422290222,-0.19011454806038186,0.9222528810258075
Piano,2,A,9,-1,($4.5923),($8.7699),36,-0.09987451256722929,-0.19073002368384998,0.9232267489043986
Piano,2,A,9,-1,($3.8483),$9.1209,6,-0.08369381066403948,0.1983636612752742,0.5635448790780717
Piano,2,A,9,-1,$0.9476,($9.853999999999999),3,0.020608646671320792,-0.2143073071962802,0.015257263431261159
Piano,2,A,9,-1,$1.3886,($9.801600000000001),3,0.03019962723490508,-0.2131676986213781,0.022398961207596168
Piano,2,A,9,-1,$1.4086,($9.7988),3,0.030634592339829538,-0.21310680350668867,0.022723583833793217
Piano,2,A,9,-1,$2.2222,($9.6469),3,0.04832897280815646,-0.2098032435347874,0.0360331115078721
Piano,2,A,9,-1,$2.3057,$9.6272,6,0.05014495212121608,0.20937480290643684,0.46258724233079046
Piano,2,A,9,-1,$2.4576,($9.589600000000001),3,0.05344851209311733,-0.20855706850917885,0.03992858302223665
Piano,2,A,9,-1,$2.4772,($9.5846),3,0.0538747778959433,-0.20844832723294773,0.040253205648433696
Piano,2,A,9,-1,$2.4967,($9.579499999999999),3,0.05429886887324464,-0.208337411131192,0.040577828274630745
Piano,2,A,9,-1,$2.5748,($9.5588),3,0.05599740760797465,-0.20788722224759518,0.04187631877941893
Piano,2,A,9,-1,$2.5943,($9.5535),3,0.056421498585275995,-0.20777195649479022,0.04220094140561597
