index,date,year,month,day,cases,new_cases,new_cases_sm
1,1/1/2020,2020,1,1,0,0,0
2,1/2/2020,2020,1,2,0,0,0
3,1/3/2020,2020,1,3,0,0,0
4,1/4/2020,2020,1,4,0,0,0
5,1/5/2020,2020,1,5,0,0,0
6,1/6/2020,2020,1,6,0,0,0
7,1/7/2020,2020,1,7,0,0,0
8,1/8/2020,2020,1,8,0,0,0
9,1/9/2020,2020,1,9,0,0,0
10,1/10/2020,2020,1,10,0,0,0
11,1/11/2020,2020,1,11,0,0,0
12,1/12/2020,2020,1,12,0,0,0
13,1/13/2020,2020,1,13,0,0,0
14,1/14/2020,2020,1,14,0,0,0
15,1/15/2020,2020,1,15,0,0,0
16,1/16/2020,2020,1,16,0,0,0
17,1/17/2020,2020,1,17,0,0,0
18,1/18/2020,2020,1,18,0,0,0
19,1/19/2020,2020,1,19,0,0,0
20,1/20/2020,2020,1,20,0,0,0
21,1/21/2020,2020,1,21,0,0,0
22,1/22/2020,2020,1,22,1,0,0
23,1/23/2020,2020,1,23,1,0,0
24,1/24/2020,2020,1,24,2,1,0
25,1/25/2020,2020,1,25,2,0,0
26,1/26/2020,2020,1,26,5,3,0
27,1/27/2020,2020,1,27,5,0,0
28,1/28/2020,2020,1,28,5,0,0.571
29,1/29/2020,2020,1,29,6,1,0.714
30,1/30/2020,2020,1,30,6,0,0.714
31,1/31/2020,2020,1,31,8,2,0.857
32,2/1/2020,2020,2,1,8,0,0.857
33,2/2/2020,2020,2,2,8,0,0.429
34,2/3/2020,2020,2,3,11,3,0.857
35,2/4/2020,2020,2,4,11,0,0.857
36,2/5/2020,2020,2,5,11,0,0.714
37,2/6/2020,2020,2,6,12,1,0.857
38,2/7/2020,2020,2,7,12,0,0.571
39,2/8/2020,2020,2,8,12,0,0.571
40,2/9/2020,2020,2,9,12,0,0.571
41,2/10/2020,2020,2,10,12,0,0.143
42,2/11/2020,2020,2,11,13,1,0.286
43,2/12/2020,2020,2,12,13,0,0.286
44,2/13/2020,2020,2,13,14,1,0.286
45,2/14/2020,2020,2,14,14,0,0.286
46,2/15/2020,2020,2,15,14,0,0.286
47,2/16/2020,2020,2,16,14,0,0.286
48,2/17/2020,2020,2,17,14,0,0.286
49,2/18/2020,2020,2,18,14,0,0.143
50,2/19/2020,2020,2,19,14,0,0.143
51,2/20/2020,2020,2,20,14,0,0
52,2/21/2020,2020,2,21,16,2,0.286
53,2/22/2020,2020,2,22,16,0,0.286
54,2/23/2020,2020,2,23,16,0,0.286
55,2/24/2020,2020,2,24,16,0,0.286
56,2/25/2020,2020,2,25,16,0,0.286
57,2/26/2020,2020,2,26,16,0,0.286
58,2/27/2020,2020,2,27,17,1,0.429
59,2/28/2020,2020,2,28,17,0,0.143
60,2/29/2020,2020,2,29,25,8,1.286
61,3/1/2020,2020,3,1,32,7,2.286
62,3/2/2020,2020,3,2,55,23,5.571
63,3/3/2020,2020,3,3,74,19,8.286
64,3/4/2020,2020,3,4,107,33,13
65,3/5/2020,2020,3,5,184,77,23.857
66,3/6/2020,2020,3,6,237,53,31.429
67,3/7/2020,2020,3,7,403,166,54
68,3/8/2020,2020,3,8,519,116,69.571
69,3/9/2020,2020,3,9,594,75,77
70,3/10/2020,2020,3,10,782,188,101.143
71,3/11/2020,2020,3,11,1147,365,148.571
72,3/12/2020,2020,3,12,1586,439,200.286
73,3/13/2020,2020,3,13,2219,633,283.143
74,3/14/2020,2020,3,14,2978,759,367.857
75,3/15/2020,2020,3,15,3212,234,384.714
76,3/16/2020,2020,3,16,4679,1467,583.571
77,3/17/2020,2020,3,17,6512,1833,818.571
78,3/18/2020,2020,3,18,9169,2657,1146
79,3/19/2020,2020,3,19,13663,4494,1725.286
80,3/20/2020,2020,3,20,20030,6367,2544.429
81,3/21/2020,2020,3,21,26025,5995,3292.429
82,3/22/2020,2020,3,22,34944,8919,4533.143
83,3/23/2020,2020,3,23,46096,11152,5916.714
84,3/24/2020,2020,3,24,56714,10618,7171.714
85,3/25/2020,2020,3,25,68841,12127,8524.571
86,3/26/2020,2020,3,26,86662,17821,10428.429
87,3/27/2020,2020,3,27,105253,18591,12174.714
88,3/28/2020,2020,3,28,127417,22164,14484.571
89,3/29/2020,2020,3,29,143544,16127,15514.286
90,3/30/2020,2020,3,30,165698,22154,17086
91,3/31/2020,2020,3,31,192079,26381,19337.857
92,4/1/2020,2020,4,1,227893,35814,22721.714
93,4/2/2020,2020,4,2,260169,32276,24786.714
94,4/3/2020,2020,4,3,292609,32440,26765.143
95,4/4/2020,2020,4,4,324328,31719,28130.143
96,4/5/2020,2020,4,5,353103,28775,29937
97,4/6/2020,2020,4,6,385094,31991,31342.286
98,4/7/2020,2020,4,7,415244,30150,31880.714
