AgeGrp,Year,Male,Female,Total
0,1950,0.513,0.498,1.011
0,1951,0.541,0.526,1.067
0,1952,0.556,0.54,1.096
0,1953,0.572,0.556,1.128
0,1954,0.591,0.573,1.164
0,1955,0.61,0.593,1.203
0,1956,0.632,0.613,1.245
0,1957,0.655,0.635,1.29
0,1958,0.68,0.659,1.339
0,1959,0.711,0.689,1.4
0,1960,0.749,0.725,1.474
0,1961,0.805,0.78,1.585
0,1962,0.893,0.865,1.758
0,1963,1.029,0.997,2.026
0,1964,1.188,1.15,2.338
0,1965,1.361,1.317,2.678
0,1966,1.551,1.501,3.052
0,1967,1.756,1.698,3.454
0,1968,1.963,1.898,3.861
0,1969,2.188,2.114,4.302
0,1970,2.423,2.34,4.763
0,1971,2.686,2.556,5.242
0,1972,2.786,2.635,5.421
0,1973,2.881,2.717,5.598
0,1974,2.98,2.807,5.787
0,1975,3.093,2.909,6.002
0,1976,3.213,3.02,6.233
0,1977,3.357,3.142,6.499
0,1978,3.505,3.267,6.772
0,1979,3.667,3.41,7.077
0,1980,3.853,3.58,7.433
0,1981,4.043,3.762,7.805
0,1982,4.23,3.946,8.176
0,1983,4.342,4.064,8.406
0,1984,4.364,4.103,8.467
0,1985,4.286,4.053,8.339
0,1986,4.248,3.999,8.247
0,1987,4.907,4.665,9.572
0,1988,5.094,4.826,9.92
0,1989,5.134,4.841,9.975
0,1990,5.186,4.866,10.052
0,1991,5.238,4.893,10.131
0,1992,5.28,4.918,10.198
0,1993,5.301,4.934,10.235
0,1994,5.291,4.937,10.228
0,1995,5.246,4.922,10.168
0,1996,5.15,4.881,10.031
0,1997,4.973,4.788,9.761
0,1998,5.365,5.154,10.519
0,1999,5.637,5.4,11.037
0,2000,5.827,5.565,11.392
0,2001,5.995,5.7,11.695
0,2002,6.14,5.801,11.941
0,2003,6.495,6.149,12.644
0,2004,6.407,5.962,12.369
0,2005,6.824,6.321,13.145
0,2006,6.887,6.562,13.449
0,2007,7.524,7.189,14.713
0,2008,8.278,7.742,16.02
0,2009,8.793,8.346,17.139
0,2010,9.343,8.886,18.229
0,2011,10.211,9.693,19.904
