Country,Year,AgeGrp,Female,Male,Max
Qatar,1950,0,2.08,2.15,3.22
Qatar,1950,1,1.91,1.96,3.22
Qatar,1950,2,1.70,1.73,3.22
Qatar,1950,3,1.60,1.64,3.22
Qatar,1950,4,1.52,1.56,3.22
Qatar,1950,5,1.46,1.48,3.22
Qatar,1950,6,1.39,1.41,3.22
Qatar,1950,7,1.33,1.35,3.22
Qatar,1950,8,1.28,1.30,3.22
Qatar,1950,9,1.24,1.26,3.22
Qatar,1950,10,1.21,1.21,3.22
Qatar,1950,11,1.18,1.18,3.22
Qatar,1950,12,1.14,1.14,3.22
Qatar,1950,13,1.10,1.10,3.22
Qatar,1950,14,1.07,1.06,3.22
Qatar,1950,15,1.04,1.03,3.22
Qatar,1950,16,1.01,1.00,3.22
Qatar,1950,17,0.98,0.97,3.22
Qatar,1950,18,0.95,0.94,3.22
Qatar,1950,19,0.92,0.91,3.22
Qatar,1950,20,0.90,0.88,3.22
Qatar,1950,21,0.87,0.86,3.22
Qatar,1950,22,0.85,0.82,3.22
Qatar,1950,23,0.82,0.80,3.22
Qatar,1950,24,0.79,0.78,3.22
Qatar,1950,25,0.77,0.76,3.22
Qatar,1950,26,0.74,0.73,3.22
Qatar,1950,27,0.72,0.71,3.22
Qatar,1950,28,0.70,0.69,3.22
Qatar,1950,29,0.67,0.67,3.22
Qatar,1950,30,0.66,0.65,3.22
Qatar,1950,31,0.64,0.63,3.22
Qatar,1950,32,0.62,0.61,3.22
Qatar,1950,33,0.59,0.59,3.22
Qatar,1950,34,0.57,0.57,3.22
Qatar,1950,35,0.55,0.55,3.22
Qatar,1950,36,0.54,0.53,3.22
Qatar,1950,37,0.52,0.53,3.22
Qatar,1950,38,0.51,0.51,3.22
Qatar,1950,39,0.50,0.50,3.22
Qatar,1950,40,0.49,0.49,3.22
Qatar,1950,41,0.47,0.48,3.22
Qatar,1950,42,0.46,0.47,3.22
Qatar,1950,43,0.45,0.45,3.22
Qatar,1950,44,0.43,0.44,3.22
Qatar,1950,45,0.42,0.43,3.22
Qatar,1950,46,0.41,0.41,3.22
Qatar,1950,47,0.39,0.40,3.22
Qatar,1950,48,0.38,0.38,3.22
Qatar,1950,49,0.37,0.37,3.22
Qatar,1950,50,0.36,0.36,3.22
Qatar,1950,51,0.35,0.36,3.22
Qatar,1950,52,0.34,0.35,3.22
Qatar,1950,53,0.33,0.33,3.22
Qatar,1950,54,0.33,0.32,3.22
Qatar,1950,55,0.31,0.31,3.22
Qatar,1950,56,0.30,0.30,3.22
Qatar,1950,57,0.29,0.28,3.22
Qatar,1950,58,0.28,0.27,3.22
Qatar,1950,59,0.27,0.26,3.22
Qatar,1950,60,0.26,0.25,3.22
Qatar,1950,61,0.24,0.23,3.22
Qatar,1950,62,0.23,0.23,3.22
Qatar,1950,63,0.22,0.21,3.22
Qatar,1950,64,0.21,0.19,3.22
Qatar,1950,65,0.20,0.18,3.22
Qatar,1950,66,0.18,0.17,3.22
Qatar,1950,67,0.17,0.15,3.22
Qatar,1950,68,0.16,0.15,3.22
Qatar,1950,69,0.15,0.13,3.22
Qatar,1950,70,0.13,0.12,3.22
Qatar,1950,71,0.12,0.11,3.22
Qatar,1950,72,0.11,0.10,3.22
Qatar,1950,73,0.10,0.09,3.22
Qatar,1950,74,0.09,0.08,3.22
Qatar,1950,75,0.08,0.07,3.22
Qatar,1950,76,0.07,0.06,3.22
Qatar,1950,77,0.06,0.05,3.22
Qatar,1950,78,0.05,0.04,3.22
Qatar,1950,79,0.04,0.03,3.22
Qatar,1950,80,0.03,0.02,3.22
Qatar,1950,81,0.02,0.02,3.22
Qatar,1950,82,0.02,0.01,3.22
Qatar,1950,83,0.01,0.01,3.22
Qatar,1950,84,0.01,0.01,3.22
Qatar,1950,85,0.01,0.01,3.22
Qatar,1950,86,0.01,0.01,3.22
Qatar,1950,87,0.01,0.01,3.22
Qatar,1950,88,0.01,0.00,3.22
Qatar,1950,89,0.00,0.00,3.22
Qatar,1950,90,0.00,0.00,3.22
Qatar,1950,91,0.00,0.00,3.22
Qatar,1950,92,0.00,0.00,3.22
Qatar,1950,93,0.00,0.00,3.22
Qatar,1950,94,0.00,0.00,3.22
Qatar,1950,95,0.00,0.00,3.22
Qatar,1950,96,0.00,0.00,3.22
Qatar,1950,97,0.00,0.00,3.22
Qatar,1950,98,0.00,0.00,3.22
Qatar,1950,99,0.00,0.00,3.22
Qatar,1950,100,0.00,0.00,3.22
Qatar,1951,0,2.13,2.19,3.22
Qatar,1951,1,1.91,1.96,3.22
Qatar,1951,2,1.81,1.85,3.22
Qatar,1951,3,1.62,1.65,3.22
Qatar,1951,4,1.54,1.57,3.22
Qatar,1951,5,1.47,1.50,3.22
Qatar,1951,6,1.40,1.42,3.22
Qatar,1951,7,1.35,1.36,3.22
Qatar,1951,8,1.28,1.30,3.22
Qatar,1951,9,1.24,1.25,3.22
Qatar,1951,10,1.20,1.21,3.22
Qatar,1951,11,1.16,1.17,3.22
Qatar,1951,12,1.13,1.13,3.22
Qatar,1951,13,1.10,1.10,3.22
Qatar,1951,14,1.07,1.06,3.22
Qatar,1951,15,1.03,1.02,3.22
Qatar,1951,16,1.00,1.00,3.22
Qatar,1951,17,0.97,0.96,3.22
Qatar,1951,18,0.94,0.93,3.22
Qatar,1951,19,0.92,0.90,3.22
Qatar,1951,20,0.89,0.88,3.22
Qatar,1951,21,0.87,0.85,3.22
Qatar,1951,22,0.84,0.83,3.22
Qatar,1951,23,0.81,0.79,3.22
Qatar,1951,24,0.79,0.77,3.22
Qatar,1951,25,0.76,0.75,3.22
Qatar,1951,26,0.74,0.73,3.22
Qatar,1951,27,0.72,0.70,3.22
Qatar,1951,28,0.69,0.68,3.22
Qatar,1951,29,0.68,0.66,3.22
Qatar,1951,30,0.65,0.65,3.22
Qatar,1951,31,0.63,0.62,3.22
Qatar,1951,32,0.62,0.61,3.22
Qatar,1951,33,0.60,0.59,3.22
Qatar,1951,34,0.57,0.57,3.22
Qatar,1951,35,0.55,0.55,3.22
Qatar,1951,36,0.53,0.53,3.22
Qatar,1951,37,0.52,0.51,3.22
Qatar,1951,38,0.50,0.51,3.22
Qatar,1951,39,0.49,0.49,3.22
Qatar,1951,40,0.48,0.48,3.22
Qatar,1951,41,0.47,0.47,3.22
Qatar,1951,42,0.45,0.46,3.22
Qatar,1951,43,0.44,0.45,3.22
Qatar,1951,44,0.43,0.43,3.22
Qatar,1951,45,0.41,0.42,3.22
Qatar,1951,46,0.40,0.41,3.22
Qatar,1951,47,0.39,0.39,3.22
Qatar,1951,48,0.38,0.38,3.22
Qatar,1951,49,0.37,0.37,3.22
Qatar,1951,50,0.36,0.36,3.22
Qatar,1951,51,0.35,0.34,3.22
Qatar,1951,52,0.34,0.34,3.22
Qatar,1951,53,0.33,0.33,3.22
Qatar,1951,54,0.32,0.32,3.22
Qatar,1951,55,0.31,0.30,3.22
Qatar,1951,56,0.30,0.29,3.22
Qatar,1951,57,0.29,0.28,3.22
Qatar,1951,58,0.28,0.27,3.22
Qatar,1951,59,0.26,0.26,3.22
Qatar,1951,60,0.26,0.24,3.22
Qatar,1951,61,0.24,0.24,3.22
Qatar,1951,62,0.23,0.22,3.22
Qatar,1951,63,0.22,0.21,3.22
Qatar,1951,64,0.21,0.19,3.22
Qatar,1951,65,0.20,0.18,3.22
Qatar,1951,66,0.18,0.17,3.22
Qatar,1951,67,0.17,0.15,3.22
Qatar,1951,68,0.16,0.14,3.22
Qatar,1951,69,0.15,0.13,3.22
Qatar,1951,70,0.13,0.12,3.22
Qatar,1951,71,0.12,0.11,3.22
Qatar,1951,72,0.11,0.10,3.22
Qatar,1951,73,0.10,0.09,3.22
Qatar,1951,74,0.09,0.08,3.22
Qatar,1951,75,0.08,0.06,3.22
Qatar,1951,76,0.07,0.06,3.22
Qatar,1951,77,0.06,0.05,3.22
Qatar,1951,78,0.05,0.04,3.22
Qatar,1951,79,0.04,0.04,3.22
Qatar,1951,80,0.04,0.03,3.22
Qatar,1951,81,0.02,0.02,3.22
Qatar,1951,82,0.01,0.01,3.22
Qatar,1951,83,0.01,0.01,3.22
Qatar,1951,84,0.01,0.01,3.22
Qatar,1951,85,0.01,0.01,3.22
Qatar,1951,86,0.01,0.01,3.22
Qatar,1951,87,0.01,0.01,3.22
Qatar,1951,88,0.01,0.01,3.22
Qatar,1951,89,0.01,0.00,3.22
Qatar,1951,90,0.00,0.00,3.22
Qatar,1951,91,0.00,0.00,3.22
Qatar,1951,92,0.00,0.00,3.22
Qatar,1951,93,0.00,0.00,3.22
Qatar,1951,94,0.00,0.00,3.22
Qatar,1951,95,0.00,0.00,3.22
Qatar,1951,96,0.00,0.00,3.22
Qatar,1951,97,0.00,0.00,3.22
Qatar,1951,98,0.00,0.00,3.22
Qatar,1951,99,0.00,0.00,3.22
Qatar,1951,100,0.00,0.00,3.22
Qatar,1952,0,2.12,2.18,3.22
Qatar,1952,1,1.95,2.00,3.22
Qatar,1952,2,1.81,1.85,3.22
Qatar,1952,3,1.72,1.76,3.22
Qatar,1952,4,1.55,1.58,3.22
Qatar,1952,5,1.48,1.51,3.22
Qatar,1952,6,1.41,1.44,3.22
Qatar,1952,7,1.35,1.37,3.22
Qatar,1952,8,1.30,1.31,3.22
Qatar,1952,9,1.23,1.25,3.22
Qatar,1952,10,1.20,1.21,3.22
Qatar,1952,11,1.16,1.17,3.22
Qatar,1952,12,1.13,1.13,3.22
