location,yyyyww,year,count_avg,temp_avg,rain,month
Mogilska,201701,2017,172,0.00,0.00,Jan
Mogilska,201702,2017,270,-7.14,0.00,Jan
Mogilska,201703,2017,324,-5.71,0.14,Jan
Mogilska,201704,2017,380,-5.29,0.00,Jan
Mogilska,201705,2017,380,-4.29,0.00,Jan
Mogilska,201706,2017,352,-4.00,0.00,Jan
Mogilska,201706,2017,278,-0.60,0.00,Feb
Mogilska,201707,2017,336,-5.57,0.00,Feb
Mogilska,201708,2017,384,-0.71,0.00,Feb
Mogilska,201709,2017,477,3.86,0.14,Feb
Mogilska,201710,2017,1212,7.50,0.00,Feb
Mogilska,201710,2017,1044,7.00,0.20,Mar
Mogilska,201711,2017,851,4.57,0.71,Mar
Mogilska,201712,2017,1009,4.57,0.71,Mar
Mogilska,201713,2017,1016,6.43,0.57,Mar
Mogilska,201714,2017,2116,10.40,0.00,Mar
Mogilska,201714,2017,2102,15.00,0.00,Apr
Mogilska,201715,2017,1663,9.29,0.14,Apr
Mogilska,201716,2017,1334,7.71,0.14,Apr
Mogilska,201717,2017,680,3.00,0.86,Apr
Mogilska,201718,2017,1037,6.00,1.57,Apr
Mogilska,201719,2017,1130,11.00,0.43,May
Mogilska,201720,2017,1825,9.14,0.29,May
Mogilska,201721,2017,3099,14.71,0.71,May
Mogilska,201722,2017,2708,13.71,1.00,May
Mogilska,201723,2017,3930,18.67,1.67,May
Mogilska,201723,2017,3434,16.00,0.50,Jun
Mogilska,201724,2017,3594,16.29,0.43,Jun
Mogilska,201725,2017,2605,15.14,0.57,Jun
Mogilska,201726,2017,3973,19.29,0.71,Jun
Mogilska,201727,2017,4321,21.00,0.20,Jun
Mogilska,201727,2017,1414,17.50,0.50,Jul
Mogilska,201728,2017,3402,16.86,1.43,Jul
Mogilska,201729,2017,2995,17.29,1.71,Jul
Mogilska,201730,2017,3520,21.29,0.29,Jul
Mogilska,201731,2017,3267,19.43,1.14,Jul
Mogilska,201732,2017,4004,26.00,0.00,Jul
Mogilska,201732,2017,3088,25.67,0.17,Aug
Mogilska,201733,2017,3054,21.57,0.57,Aug
Mogilska,201734,2017,2758,19.86,2.29,Aug
Mogilska,201735,2017,3216,17.86,0.00,Aug
Mogilska,201736,2017,4437,18.75,0.00,Aug
Mogilska,201736,2017,1886,15.67,6.67,Sep
Mogilska,201737,2017,2551,16.00,0.57,Sep
Mogilska,201738,2017,2111,16.29,0.86,Sep
Mogilska,201739,2017,1228,11.14,6.00,Sep
Mogilska,201740,2017,2337,13.00,0.33,Sep
Mogilska,201740,2017,1399,11.00,0.00,Oct
Mogilska,201741,2017,1507,10.14,1.29,Oct
Mogilska,201742,2017,1962,11.71,0.00,Oct
Mogilska,201743,2017,2381,14.29,0.00,Oct
Mogilska,201744,2017,1322,7.86,2.29,Oct
Mogilska,201745,2017,1084,2.50,0.50,Oct
Mogilska,201745,2017,944,8.00,0.20,Nov
Mogilska,201746,2017,1376,6.29,0.43,Nov
Mogilska,201747,2017,1011,3.00,0.43,Nov
Mogilska,201748,2017,949,5.43,0.29,Nov
Mogilska,201749,2017,932,1.25,1.50,Nov
Mogilska,201749,2017,375,-1.33,0.67,Dec
Mogilska,201750,2017,639,1.57,0.43,Dec
Mogilska,201751,2017,863,3.14,0.00,Dec
Mogilska,201752,2017,557,1.29,0.43,Dec
Mogilska,201753,2017,351,3.43,0.14,Dec
Mogilska,201801,2018,603,4.14,0.57,Jan
Mogilska,201802,2018,657,0.00,0.00,Jan
Mogilska,201803,2018,506,-0.43,0.14,Jan
Mogilska,201804,2018,491,0.43,0.00,Jan
Mogilska,201805,2018,801,5.33,0.00,Jan
Mogilska,201805,2018,488,1.75,0.00,Feb
Mogilska,201806,2018,465,-1.86,0.00,Feb
Mogilska,201807,2018,437,-0.86,0.00,Feb
Mogilska,201808,2018,442,-4.71,0.00,Feb
Mogilska,201809,2018,411,-11.33,0.00,Feb
Mogilska,201809,2018,262,-10.00,0.00,Mar
Mogilska,201810,2018,809,4.14,0.14,Mar
Mogilska,201811,2018,872,3.14,0.14,Mar
Mogilska,201812,2018,706,-0.57,0.00,Mar
Mogilska,201813,2018,926,6.17,0.50,Mar
Mogilska,201813,2018,84,5.00,1.00,Apr
Mogilska,201814,2018,1985,11.14,0.00,Apr
Mogilska,201815,2018,3388,16.71,0.00,Apr
Mogilska,201816,2018,3569,15.43,0.29,Apr
Mogilska,201817,2018,3387,15.71,0.71,Apr
Mogilska,201818,2018,2928,22.00,0.00,Apr
Mogilska,201818,2018,2468,18.00,0.17,May
Mogilska,201819,2018,3746,16.86,0.86,May
Mogilska,201820,2018,2497,12.86,1.14,May
Mogilska,201821,2018,3928,17.57,0.00,May
Mogilska,201822,2018,4407,21.00,0.00,May
Mogilska,201822,2018,2054,20.67,0.00,Jun
Mogilska,201823,2018,4161,19.14,0.57,Jun
Mogilska,201824,2018,3306,18.71,0.86,Jun
Mogilska,201825,2018,3247,17.29,1.14,Jun
Mogilska,201826,2018,2766,16.17,3.83,Jun
Mogilska,201826,2018,1150,12.00,1.00,Jul
Mogilska,201827,2018,3570,18.71,0.71,Jul
Mogilska,201828,2018,2619,19.14,3.00,Jul
Mogilska,201829,2018,1928,19.57,2.43,Jul
Mogilska,201830,2018,3390,22.57,1.29,Jul
Mogilska,201831,2018,3642,23.50,2.00,Jul
Mogilska,201831,2018,2938,24.00,0.00,Aug
Mogilska,201832,2018,3132,22.14,0.86,Aug
Mogilska,201833,2018,2952,22.29,1.29,Aug
Mogilska,201834,2018,2991,20.71,1.14,Aug
Mogilska,201835,2018,3803,17.80,0.00,Aug
Mogilska,201835,2018,2049,20.00,0.00,Sep
Mogilska,201836,2018,3010,18.57,1.00,Sep
Mogilska,201837,2018,3137,18.57,0.29,Sep
Mogilska,201838,2018,3113,18.71,0.29,Sep
Mogilska,201839,2018,1910,11.29,0.29,Sep
Mogilska,201840,2018,1939,12.14,0.14,Oct
Mogilska,201841,2018,2573,14.86,0.00,Oct
Mogilska,201842,2018,2203,13.71,0.14,Oct
Mogilska,201843,2018,1231,7.57,0.86,Oct
Mogilska,201844,2018,2317,14.67,0.00,Oct
