date,location,count,last_count
10/12/2022,Armii Krajowej,901,
10/12/2022,Bora-Komorowskiego,1092,
10/12/2022,Bulwary,1771,
10/12/2022,Dworzec,2083,
10/12/2022,Grzegórzecka,2064,
10/12/2022,Kamieńskiego,1142,
10/12/2022,Klimeckiego,1424,
10/12/2022,Kopernika,2578,
10/12/2022,Kotlarska,2543,
10/12/2022,Mogilska,3296,
10/12/2022,Monte Cassino,1919,
10/12/2022,Niepołomska,619,
10/12/2022,Nowohucka,744,
10/12/2022,Smoleńsk,1109,
10/12/2022,Tyniecka,1426,
10/12/2022,Wadowicka,1380,
10/12/2022,Wielicka,1434,
10/13/2022,Armii Krajowej,909,
10/13/2022,Bora-Komorowskiego,1091,
10/13/2022,Bulwary,1810,
10/13/2022,Dworzec,2136,
10/13/2022,Grzegórzecka,2032,
10/13/2022,Kamieńskiego,1091,
10/13/2022,Klimeckiego,1383,
10/13/2022,Kopernika,2555,
10/13/2022,Kotlarska,2465,
10/13/2022,Mogilska,3151,
10/13/2022,Monte Cassino,1932,
10/13/2022,Niepołomska,739,
10/13/2022,Nowohucka,778,
10/13/2022,Smoleńsk,1151,
10/13/2022,Tyniecka,1341,
10/13/2022,Wadowicka,1456,
10/13/2022,Wielicka,1448,
10/14/2022,Armii Krajowej,718,
10/14/2022,Bora-Komorowskiego,871,
10/14/2022,Bulwary,1312,
10/14/2022,Dworzec,1740,
10/14/2022,Grzegórzecka,1782,
10/14/2022,Kamieńskiego,856,
10/14/2022,Klimeckiego,1154,
10/14/2022,Kopernika,2089,
10/14/2022,Kotlarska,2067,
10/14/2022,Mogilska,2565,
10/14/2022,Monte Cassino,1584,
10/14/2022,Niepołomska,442,
10/14/2022,Nowohucka,603,
10/14/2022,Smoleńsk,986,
10/14/2022,Tyniecka,999,
10/14/2022,Wadowicka,1215,
10/14/2022,Wielicka,1182,
10/15/2022,Armii Krajowej,590,
10/15/2022,Bora-Komorowskiego,593,
10/15/2022,Bulwary,1577,
10/15/2022,Dworzec,971,
10/15/2022,Grzegórzecka,1270,
10/15/2022,Kamieńskiego,741,
10/15/2022,Klimeckiego,797,
10/15/2022,Kopernika,1201,
10/15/2022,Kotlarska,1302,
