index,candidate,votes,state,code,map_id
4,Biden,55,California,CA,6
48,Trump,38,Texas,TX,48
9,Trump,29,Florida,FL,12
37,Biden,29,New York,NY,36
13,Biden,20,Illinois,IL,17
43,Biden,20,Pennsylvania,PA,42
40,Trump,18,Ohio,OH,39
10,Biden,16,Georgia,GA,13
24,Biden,16,Michigan,MI,26
38,Trump,15,North Carolina,NC,37
35,Biden,14,New Jersey,NJ,34
51,Biden,13,Virginia,VA,51
52,Biden,12,Washington,WA,53
2,Biden,11,Arizona,AZ,4
14,Trump,11,Indiana,IN,18
23,Biden,11,Massachusetts,MA,25
47,Trump,11,Tennessee,TN,47
22,Biden,10,Maryland,MD,24
25,Biden,10,Minnesota,MN,27
27,Trump,10,Missouri,MO,29
54,Biden,10,Wisconsin,WI,55
0,Trump,9,Alabama,AL,1
5,Biden,9,Colorado,CO,8
45,Trump,9,South Carolina,SC,45
17,Trump,8,Kentucky,KY,21
18,Trump,8,Louisiana,LA,22
6,Biden,7,Connecticut,CT,9
41,Trump,7,Oklahoma,OK,40
42,Biden,7,Oregon,OR,41
3,Trump,6,Arkansas,AR,5
15,Trump,6,Iowa,IA,19
16,Trump,6,Kansas,KS,20
26,Trump,6,Mississippi,MS,28
33,Biden,6,Nevada,NV,32
49,Trump,6,Utah,UT,49
36,Biden,5,New Mexico,NM,35
53,Trump,5,West Virginia,WV,54
11,Biden,4,Hawaii,HI,15
12,Trump,4,Idaho,ID,16
34,Biden,4,New Hampshire,NH,33
44,Biden,4,Rhode Island,RI,44
1,Trump,3,Alaska,AK,2
8,Biden,3,D.C.,DC,24
7,Biden,3,Delaware,DE,10
28,Trump,3,Montana,MT,30
39,Trump,3,North Dakota,ND,38
46,Trump,3,South Dakota,SD,46
50,Biden,3,Vermont,VT,50
55,Trump,3,Wyoming,WY,56
19,Biden,2,Maine,ME,23
29,Trump,2,Nebraska,NE,31
20,Biden,1,ME-1,ME-1,23
21,Trump,1,ME-2,ME-2,23
30,Trump,1,NE-1,NE-1,31
31,Biden,1,NE-2,NE-2,31
32,Trump,1,NE-3,NE-3,31
